工件id	工件大小	第1阶段名义加工时间	第2阶段名义加工时间	
1	5	40	29	
2	10	27	32	
3	1	18	47	
4	1	29	27	
5	6	46	11	
6	5	23	29	
7	10	26	20	
8	6	45	36	
9	6	49	29	
10	4	45	28	
11	5	44	11	
12	5	48	13	
13	9	24	32	
14	9	13	11	
15	7	39	16	
16	10	11	24	
17	8	17	46	
18	6	32	36	
19	7	13	22	
20	1	24	34	
21	4	18	18	
22	10	16	38	
23	1	14	43	
24	10	37	42	
25	9	23	14	
26	9	19	35	
27	5	29	46	
28	7	36	27	
29	2	31	10	
30	9	15	42	
31	10	45	18	
32	8	37	43	
33	4	20	48	
34	10	12	44	
35	5	18	47	
36	7	21	19	
37	9	13	28	
38	4	30	15	
39	7	44	45	
40	9	34	45	
